Subject,Description,Service,Impact,Status
Unusual login activity detected for account EXT-8780,Batch imported ticket for Unusual login activity detected for account EXT-8780. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-8780. User IP: 166.50.185.68,security,Low,open
Unusual login activity detected for account EXT-6215,Batch imported ticket for Unusual login activity detected for account EXT-6215. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6215. User IP: 59.12.80.70,security,Low,open
Password reset requested for executive account EXT-4487,Batch imported ticket for Password reset requested for executive account EXT-4487. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-4487. User IP: 229.26.55.46,access,Critical,open
Unauthorized S3 bucket policy modification on EXT-4992,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4992. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-4992. User IP: 154.150.78.122,security,High,open
Unusual login activity detected for account EXT-3468,Batch imported ticket for Unusual login activity detected for account EXT-3468. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3468. User IP: 77.135.47.41,security,Low,open
Connection pool exhaustion on microservice EXT-2370,Batch imported ticket for Connection pool exhaustion on microservice EXT-2370. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2370. User IP: 155.95.31.13,database,Medium,resolved
Server cluster EXT-8053 high CPU usage warning,Batch imported ticket for Server cluster EXT-8053 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-8053. User IP: 146.77.129.31,infrastructure,Critical,resolved
Credential stuffing attempt blocked on IP range EXT-9494.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-9494.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9494. User IP: 130.187.205.118,security,Critical,open
User session timeout issue on mobile app version EXT-3623,Batch imported ticket for User session timeout issue on mobile app version EXT-3623. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3623. User IP: 244.146.141.1,application,Medium,in_progress
Connection pool exhaustion on microservice EXT-5302,Batch imported ticket for Connection pool exhaustion on microservice EXT-5302. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5302. User IP: 11.46.154.104,database,Medium,open
Wireless AP EXT-6076 offline in South Wing,Batch imported ticket for Wireless AP EXT-6076 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6076. User IP: 85.185.54.171,network,Low,resolved
User session timeout issue on mobile app version EXT-9022,Batch imported ticket for User session timeout issue on mobile app version EXT-9022. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9022. User IP: 76.205.91.103,application,Critical,in_progress
Database backup failure for instance EXT-4901 on S3,Batch imported ticket for Database backup failure for instance EXT-4901 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4901. User IP: 150.76.34.37,database,Critical,open
Connection pool exhaustion on microservice EXT-4937,Batch imported ticket for Connection pool exhaustion on microservice EXT-4937. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4937. User IP: 130.242.251.232,database,Low,in_progress
Unusual login activity detected for account EXT-9221,Batch imported ticket for Unusual login activity detected for account EXT-9221. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9221. User IP: 38.168.176.170,security,High,open
Unusual login activity detected for account EXT-2343,Batch imported ticket for Unusual login activity detected for account EXT-2343. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2343. User IP: 136.48.65.235,security,Medium,open
Postgres slow query optimization needed for EXT-4874,Batch imported ticket for Postgres slow query optimization needed for EXT-4874. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4874. User IP: 83.108.42.79,database,Critical,in_progress
VPC Peering connection EXT-1890 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-1890 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1890. User IP: 4.131.93.100,infrastructure,Medium,in_progress
Postgres slow query optimization needed for EXT-7524,Batch imported ticket for Postgres slow query optimization needed for EXT-7524. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-7524. User IP: 247.15.63.82,database,High,in_progress
Credential stuffing attempt blocked on IP range EXT-6538.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6538.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6538. User IP: 24.80.248.241,security,Critical,resolved
Role-based access change request for team EXT-1296,Batch imported ticket for Role-based access change request for team EXT-1296. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-1296. User IP: 125.198.234.252,access,Low,open
DNS resolution failure for internal host EXT-5790,Batch imported ticket for DNS resolution failure for internal host EXT-5790. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5790. User IP: 193.129.130.235,network,Medium,resolved
DNS resolution failure for internal host EXT-7686,Batch imported ticket for DNS resolution failure for internal host EXT-7686. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7686. User IP: 232.137.27.166,network,Low,in_progress
VPC Peering connection EXT-5210 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-5210 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-5210. User IP: 119.141.6.202,infrastructure,Medium,in_progress
Unauthorized S3 bucket policy modification on EXT-9353,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-9353. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9353. User IP: 221.184.193.146,security,Low,resolved
Disk space low (95%) on shared drive EXT-9859,Batch imported ticket for Disk space low (95%) on shared drive EXT-9859. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9859. User IP: 2.197.49.30,storage,Low,open
User session timeout issue on mobile app version EXT-2814,Batch imported ticket for User session timeout issue on mobile app version EXT-2814. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2814. User IP: 208.9.112.200,application,Critical,resolved
S3 bucket EXT-1498 access denied for service role,Batch imported ticket for S3 bucket EXT-1498 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1498. User IP: 84.233.169.50,storage,Critical,in_progress
VPC Peering connection EXT-2507 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-2507 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-2507. User IP: 27.219.64.238,infrastructure,Critical,resolved
Unauthorized S3 bucket policy modification on EXT-8731,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-8731. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-8731. User IP: 135.19.176.135,security,Medium,in_progress
Disk space low (95%) on shared drive EXT-9598,Batch imported ticket for Disk space low (95%) on shared drive EXT-9598. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9598. User IP: 84.136.229.230,storage,Critical,open
Server cluster EXT-3888 high CPU usage warning,Batch imported ticket for Server cluster EXT-3888 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-3888. User IP: 188.235.32.24,infrastructure,Low,open
VPN tunnel EXT-2051 status changed to Down,Batch imported ticket for VPN tunnel EXT-2051 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2051. User IP: 19.163.195.64,network,High,resolved
Database backup failure for instance EXT-8139 on S3,Batch imported ticket for Database backup failure for instance EXT-8139 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-8139. User IP: 103.190.147.125,database,Medium,in_progress
Server cluster EXT-7129 high CPU usage warning,Batch imported ticket for Server cluster EXT-7129 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7129. User IP: 183.133.8.124,infrastructure,Critical,open
Connection pool exhaustion on microservice EXT-6298,Batch imported ticket for Connection pool exhaustion on microservice EXT-6298. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-6298. User IP: 60.12.248.232,database,Low,open
Credential stuffing attempt blocked on IP range EXT-9976.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-9976.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9976. User IP: 189.65.95.180,security,High,resolved
Wireless AP EXT-4027 offline in South Wing,Batch imported ticket for Wireless AP EXT-4027 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-4027. User IP: 74.60.143.140,network,High,in_progress
Credential stuffing attempt blocked on IP range EXT-6465.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6465.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6465. User IP: 71.178.237.76,security,Low,open
EFS mount failure on instance EXT-4298,Batch imported ticket for EFS mount failure on instance EXT-4298. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4298. User IP: 74.247.96.225,storage,Medium,resolved
Load Balancer EXT-8138 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-8138 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-8138. User IP: 186.239.41.136,infrastructure,Medium,in_progress
DNS resolution failure for internal host EXT-2743,Batch imported ticket for DNS resolution failure for internal host EXT-2743. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2743. User IP: 233.180.130.88,network,Critical,open
User session timeout issue on mobile app version EXT-1507,Batch imported ticket for User session timeout issue on mobile app version EXT-1507. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-1507. User IP: 93.8.85.209,application,High,resolved
Server cluster EXT-3851 high CPU usage warning,Batch imported ticket for Server cluster EXT-3851 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-3851. User IP: 66.152.247.130,infrastructure,Low,open
Role-based access change request for team EXT-6182,Batch imported ticket for Role-based access change request for team EXT-6182. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-6182. User IP: 124.38.25.233,access,High,in_progress
Database backup failure for instance EXT-1813 on S3,Batch imported ticket for Database backup failure for instance EXT-1813 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1813. User IP: 223.127.228.159,database,High,resolved
User session timeout issue on mobile app version EXT-3926,Batch imported ticket for User session timeout issue on mobile app version EXT-3926. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3926. User IP: 11.176.138.65,application,Medium,resolved
Password reset requested for executive account EXT-9104,Batch imported ticket for Password reset requested for executive account EXT-9104. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9104. User IP: 107.61.194.171,access,Low,resolved
Role-based access change request for team EXT-5222,Batch imported ticket for Role-based access change request for team EXT-5222. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-5222. User IP: 55.69.146.38,access,Low,in_progress
Unusual login activity detected for account EXT-8770,Batch imported ticket for Unusual login activity detected for account EXT-8770. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-8770. User IP: 227.186.101.225,security,High,in_progress
Connection pool exhaustion on microservice EXT-2881,Batch imported ticket for Connection pool exhaustion on microservice EXT-2881. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2881. User IP: 12.26.7.40,database,Medium,open
Role-based access change request for team EXT-3890,Batch imported ticket for Role-based access change request for team EXT-3890. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3890. User IP: 107.78.232.55,access,Low,resolved
Postgres slow query optimization needed for EXT-1239,Batch imported ticket for Postgres slow query optimization needed for EXT-1239. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1239. User IP: 87.80.130.188,database,Critical,resolved
Disk space low (95%) on shared drive EXT-6945,Batch imported ticket for Disk space low (95%) on shared drive EXT-6945. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6945. User IP: 72.225.233.131,storage,Low,resolved
S3 bucket EXT-9603 access denied for service role,Batch imported ticket for S3 bucket EXT-9603 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9603. User IP: 44.185.169.137,storage,High,in_progress
Role-based access change request for team EXT-2305,Batch imported ticket for Role-based access change request for team EXT-2305. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-2305. User IP: 203.5.246.52,access,Critical,open
Database backup failure for instance EXT-7948 on S3,Batch imported ticket for Database backup failure for instance EXT-7948 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-7948. User IP: 65.108.148.117,database,Critical,resolved
Server cluster EXT-1754 high CPU usage warning,Batch imported ticket for Server cluster EXT-1754 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1754. User IP: 159.206.192.125,infrastructure,Low,resolved
VPC Peering connection EXT-4929 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-4929 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4929. User IP: 153.3.49.185,infrastructure,Critical,in_progress
Unusual login activity detected for account EXT-6992,Batch imported ticket for Unusual login activity detected for account EXT-6992. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6992. User IP: 139.154.191.239,security,Critical,in_progress
VPN tunnel EXT-6382 status changed to Down,Batch imported ticket for VPN tunnel EXT-6382 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6382. User IP: 150.48.238.83,network,Critical,in_progress
VPN tunnel EXT-1496 status changed to Down,Batch imported ticket for VPN tunnel EXT-1496 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1496. User IP: 33.34.101.225,network,Critical,resolved
Unusual login activity detected for account EXT-6317,Batch imported ticket for Unusual login activity detected for account EXT-6317. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6317. User IP: 111.113.75.9,security,Critical,in_progress
Connection pool exhaustion on microservice EXT-9118,Batch imported ticket for Connection pool exhaustion on microservice EXT-9118. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9118. User IP: 185.228.37.94,database,Low,resolved
DNS resolution failure for internal host EXT-8492,Batch imported ticket for DNS resolution failure for internal host EXT-8492. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-8492. User IP: 167.137.206.191,network,Critical,resolved
Disk space low (95%) on shared drive EXT-8376,Batch imported ticket for Disk space low (95%) on shared drive EXT-8376. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8376. User IP: 128.61.40.83,storage,Medium,resolved
EFS mount failure on instance EXT-2746,Batch imported ticket for EFS mount failure on instance EXT-2746. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2746. User IP: 175.113.46.245,storage,Critical,resolved
VPN tunnel EXT-1272 status changed to Down,Batch imported ticket for VPN tunnel EXT-1272 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1272. User IP: 95.148.41.44,network,Critical,in_progress
Payment gateway 500 status on /checkout/EXT-2782,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-2782. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2782. User IP: 29.198.201.238,application,Medium,open
VPN tunnel EXT-5778 status changed to Down,Batch imported ticket for VPN tunnel EXT-5778 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5778. User IP: 71.10.227.142,network,Medium,resolved
Credential stuffing attempt blocked on IP range EXT-9548.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-9548.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9548. User IP: 140.101.204.211,security,Low,open
Role-based access change request for team EXT-8969,Batch imported ticket for Role-based access change request for team EXT-8969. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-8969. User IP: 179.188.233.184,access,High,in_progress
VPC Peering connection EXT-7149 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7149 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7149. User IP: 123.55.3.79,infrastructure,Low,open
EFS mount failure on instance EXT-8241,Batch imported ticket for EFS mount failure on instance EXT-8241. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8241. User IP: 108.60.173.239,storage,Critical,open
Postgres slow query optimization needed for EXT-3674,Batch imported ticket for Postgres slow query optimization needed for EXT-3674. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3674. User IP: 104.229.167.121,database,Critical,open
API Latency increased for /v1/products/list - EXT-8426,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8426. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-8426. User IP: 61.89.17.47,application,Medium,open
Database backup failure for instance EXT-8222 on S3,Batch imported ticket for Database backup failure for instance EXT-8222 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-8222. User IP: 157.124.19.168,database,Low,in_progress
API Latency increased for /v1/products/list - EXT-7637,Batch imported ticket for API Latency increased for /v1/products/list - EXT-7637. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7637. User IP: 72.221.78.143,application,Low,in_progress
Unusual login activity detected for account EXT-6081,Batch imported ticket for Unusual login activity detected for account EXT-6081. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6081. User IP: 140.173.26.181,security,Critical,open
Role-based access change request for team EXT-7897,Batch imported ticket for Role-based access change request for team EXT-7897. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-7897. User IP: 201.92.35.200,access,Critical,in_progress
Database backup failure for instance EXT-3495 on S3,Batch imported ticket for Database backup failure for instance EXT-3495 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3495. User IP: 218.34.245.37,database,High,resolved
Unusual login activity detected for account EXT-2660,Batch imported ticket for Unusual login activity detected for account EXT-2660. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2660. User IP: 139.155.120.47,security,High,open
Unauthorized S3 bucket policy modification on EXT-3187,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-3187. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3187. User IP: 148.242.248.242,security,Critical,open
VPC Peering connection EXT-4323 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-4323 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4323. User IP: 58.101.52.95,infrastructure,High,open
EFS mount failure on instance EXT-7270,Batch imported ticket for EFS mount failure on instance EXT-7270. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7270. User IP: 209.195.202.171,storage,Low,open
VPC Peering connection EXT-9366 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-9366 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-9366. User IP: 218.8.73.31,infrastructure,Low,resolved
Role-based access change request for team EXT-2057,Batch imported ticket for Role-based access change request for team EXT-2057. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-2057. User IP: 110.184.200.148,access,Critical,open
Disk space low (95%) on shared drive EXT-6536,Batch imported ticket for Disk space low (95%) on shared drive EXT-6536. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6536. User IP: 187.212.190.222,storage,Low,open
Payment gateway 500 status on /checkout/EXT-9453,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-9453. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9453. User IP: 62.78.52.92,application,Medium,open
Wireless AP EXT-5677 offline in South Wing,Batch imported ticket for Wireless AP EXT-5677 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5677. User IP: 204.174.83.169,network,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-9298,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-9298. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9298. User IP: 137.166.182.137,security,Low,resolved
EFS mount failure on instance EXT-2836,Batch imported ticket for EFS mount failure on instance EXT-2836. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2836. User IP: 250.109.67.119,storage,Low,resolved
Connection pool exhaustion on microservice EXT-7104,Batch imported ticket for Connection pool exhaustion on microservice EXT-7104. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-7104. User IP: 20.236.193.158,database,Low,in_progress
Database backup failure for instance EXT-3273 on S3,Batch imported ticket for Database backup failure for instance EXT-3273 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3273. User IP: 165.241.99.128,database,Medium,resolved
Database backup failure for instance EXT-9157 on S3,Batch imported ticket for Database backup failure for instance EXT-9157 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9157. User IP: 168.9.17.195,database,Low,resolved
VPC Peering connection EXT-1694 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-1694 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1694. User IP: 183.75.191.227,infrastructure,Low,in_progress
Role-based access change request for team EXT-6455,Batch imported ticket for Role-based access change request for team EXT-6455. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-6455. User IP: 159.54.152.49,access,Low,open
User session timeout issue on mobile app version EXT-3964,Batch imported ticket for User session timeout issue on mobile app version EXT-3964. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3964. User IP: 63.112.245.103,application,Medium,in_progress
Server cluster EXT-4041 high CPU usage warning,Batch imported ticket for Server cluster EXT-4041 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4041. User IP: 6.153.254.173,infrastructure,Low,resolved
Server cluster EXT-7599 high CPU usage warning,Batch imported ticket for Server cluster EXT-7599 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7599. User IP: 1.145.243.171,infrastructure,Critical,resolved
Database backup failure for instance EXT-5162 on S3,Batch imported ticket for Database backup failure for instance EXT-5162 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5162. User IP: 185.160.57.100,database,Critical,in_progress
Server cluster EXT-8732 high CPU usage warning,Batch imported ticket for Server cluster EXT-8732 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-8732. User IP: 102.175.167.14,infrastructure,Medium,open
Unauthorized S3 bucket policy modification on EXT-9108,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-9108. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9108. User IP: 214.137.198.172,security,Medium,resolved
Unusual login activity detected for account EXT-2223,Batch imported ticket for Unusual login activity detected for account EXT-2223. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2223. User IP: 46.171.163.70,security,Critical,resolved
Wireless AP EXT-3343 offline in South Wing,Batch imported ticket for Wireless AP EXT-3343 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3343. User IP: 146.113.207.77,network,Low,open
Connection pool exhaustion on microservice EXT-1833,Batch imported ticket for Connection pool exhaustion on microservice EXT-1833. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1833. User IP: 156.148.174.164,database,Critical,resolved
DNS resolution failure for internal host EXT-4293,Batch imported ticket for DNS resolution failure for internal host EXT-4293. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-4293. User IP: 166.90.198.239,network,Critical,in_progress
EFS mount failure on instance EXT-7357,Batch imported ticket for EFS mount failure on instance EXT-7357. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7357. User IP: 99.175.121.217,storage,Critical,open
Disk space low (95%) on shared drive EXT-2321,Batch imported ticket for Disk space low (95%) on shared drive EXT-2321. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2321. User IP: 244.108.12.91,storage,Medium,resolved
Connection pool exhaustion on microservice EXT-1970,Batch imported ticket for Connection pool exhaustion on microservice EXT-1970. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1970. User IP: 182.192.250.60,database,Critical,resolved
User session timeout issue on mobile app version EXT-3422,Batch imported ticket for User session timeout issue on mobile app version EXT-3422. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3422. User IP: 249.157.13.56,application,Low,resolved
Wireless AP EXT-5805 offline in South Wing,Batch imported ticket for Wireless AP EXT-5805 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5805. User IP: 82.64.240.178,network,Low,resolved
VPN tunnel EXT-8884 status changed to Down,Batch imported ticket for VPN tunnel EXT-8884 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-8884. User IP: 135.52.255.31,network,High,resolved
Wireless AP EXT-6867 offline in South Wing,Batch imported ticket for Wireless AP EXT-6867 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6867. User IP: 71.18.189.13,network,Critical,in_progress
Unusual login activity detected for account EXT-6007,Batch imported ticket for Unusual login activity detected for account EXT-6007. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6007. User IP: 153.213.114.88,security,Critical,in_progress
EFS mount failure on instance EXT-1118,Batch imported ticket for EFS mount failure on instance EXT-1118. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1118. User IP: 19.243.212.148,storage,Medium,open
EFS mount failure on instance EXT-2854,Batch imported ticket for EFS mount failure on instance EXT-2854. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2854. User IP: 205.231.237.205,storage,Medium,open
DNS resolution failure for internal host EXT-4115,Batch imported ticket for DNS resolution failure for internal host EXT-4115. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-4115. User IP: 156.214.109.250,network,Critical,open
Unauthorized S3 bucket policy modification on EXT-7897,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-7897. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7897. User IP: 88.28.24.207,security,Low,resolved
Role-based access change request for team EXT-6339,Batch imported ticket for Role-based access change request for team EXT-6339. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-6339. User IP: 97.30.0.5,access,Critical,in_progress
Role-based access change request for team EXT-9014,Batch imported ticket for Role-based access change request for team EXT-9014. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9014. User IP: 20.199.150.176,access,Low,open
Server cluster EXT-4852 high CPU usage warning,Batch imported ticket for Server cluster EXT-4852 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4852. User IP: 64.199.42.70,infrastructure,High,resolved
Wireless AP EXT-6426 offline in South Wing,Batch imported ticket for Wireless AP EXT-6426 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6426. User IP: 249.240.249.136,network,High,open
DNS resolution failure for internal host EXT-9309,Batch imported ticket for DNS resolution failure for internal host EXT-9309. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-9309. User IP: 196.65.188.235,network,Medium,in_progress
EFS mount failure on instance EXT-3828,Batch imported ticket for EFS mount failure on instance EXT-3828. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3828. User IP: 19.149.254.152,storage,Medium,in_progress
S3 bucket EXT-6690 access denied for service role,Batch imported ticket for S3 bucket EXT-6690 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6690. User IP: 250.50.195.16,storage,Critical,in_progress
Disk space low (95%) on shared drive EXT-4437,Batch imported ticket for Disk space low (95%) on shared drive EXT-4437. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4437. User IP: 15.238.135.125,storage,Critical,resolved
Wireless AP EXT-6421 offline in South Wing,Batch imported ticket for Wireless AP EXT-6421 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6421. User IP: 179.230.170.230,network,Critical,in_progress
VPC Peering connection EXT-6706 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-6706 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-6706. User IP: 60.234.51.214,infrastructure,High,open
Wireless AP EXT-6716 offline in South Wing,Batch imported ticket for Wireless AP EXT-6716 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6716. User IP: 130.24.230.219,network,High,in_progress
Role-based access change request for team EXT-3806,Batch imported ticket for Role-based access change request for team EXT-3806. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3806. User IP: 91.184.146.194,access,Low,open
